,Rank,Name,Net worth,Age,Citizenship,Source,Industry
147,148,Andreas Struengmann & family,$11.5 B,73,Germany,Pharmaceuticals,
148,148,Thomas Struengmann & family,$11.5 B,73,Germany,Pharmaceuticals,
149,151,Liu Hanyuan,$11.4 B,59,China,Agribusiness,
150,151,Michael Rubin,$11.4 B,50,United States,Online retail,
151,153,Israel Englander,$11.3 B,74,United States,Hedge funds,
152,153,Viatcheslav Kantor,$11.3 B,69,Russia,"Fertilizer, real estate",
153,153,Anthony Pratt,$11.3 B,62,Australia,Manufacturing,
154,153,Mikhail Prokhorov,$11.3 B,57,Russia,Investments,
155,157,Giorgio Armani,$11.1 B,88,Italy,Luxury goods,
156,157,Johann Rupert & family,$11.1 B,72,South Africa,Luxury goods,
157,159,Gong Hongjia & family,$11 B,58,Hong Kong,Video surveillance,
158,159,Zhang Zhidong,$11 B,51,China,Internet media,
159,161,Philip Anschutz,$10.9 B,83,United States,"Energy, sports, entertainment",
160,161,Judy Love & family,$10.9 B,85,United States,Gas stations,
161,161,Ricardo Salinas Pliego & family,$10.9 B,67,Mexico,"Retail, media",
162,164,Donald Newhouse,$10.7 B,93,United States,Media,
163,165,Robert Kraft,$10.6 B,81,United States,"Manufacturing, New England Patriots",
164,165,Marcel Herrmann Telles,$10.6 B,73,Brazil,Beer,
165,167,Suleiman Kerimov & family,$10.5 B,57,Russia,Gold,
166,167,Chris Xu,$10.5 B,39,China,E-commerce,
167,167,Changpeng Zhao,$10.5 B,45,Canada,Cryptocurrency exchange,
168,170,Andrew Beal,$10.3 B,70,United States,"Banks, real estate",
169,171,Mike Cannon-Brookes,$10.2 B,43,Australia,Software,
170,171,Carl Cook,$10.2 B,60,United States,Medical devices,
171,171,David Duffield,$10.2 B,82,United States,Business software,
172,171,Jeffery Hildebrand,$10.2 B,64,United States,Oil,
173,171,Viktor Rashnikov,$10.2 B,74,Russia,Steel,
174,171,Eduardo Saverin,$10.2 B,41,Brazil,Facebook,
175,171,Georg Schaeffler,$10.2 B,58,Germany,Auto parts,
176,171,Christy Walton,$10.2 B,74,United States,Walmart,
177,179,Scott Farquhar,$10.1 B,43,Australia,Software,
178,179,Quek Leng Chan,$10.1 B,81,Malaysia,"Banking, property",
179,179,Wu Yajun,$10.1 B,59,China,Real estate,
180,182,Autry Stephens,$10 B,85,United States,Oil,
181,183,Liu Yongxing,$9.9 B,74,China,Diversified,
182,184,Vinod Adani,$9.8 B,74,Cyprus,"Infrastructure, commodities",
183,184,Nicolas Puech,$9.8 B,80,France,Hermes,
184,184,"Jacques Saadé, Jr.",$9.8 B,51,France,Shipping,
185,184,Rodolphe Saadé,$9.8 B,53,France,Shipping,
186,184,Tanya Saadé Zeenny,$9.8 B,55,France,Shipping,
187,184,Melker Schorling & family,$9.8 B,75,Sweden,Investments,
188,190,Andrei Guriev & family,$9.7 B,63,Russia,Fertilizers,
189,190,Michael Kim,$9.7 B,59,United States,Private equity,
190,190,Lei Jun,$9.7 B,53,China,Smartphones,
191,190,Friedhelm Loh,$9.7 B,76,Germany,Manufacturing,
192,190,Sun Piaoyang,$9.7 B,64,China,Pharmaceuticals,
193,195,Rick Cohen & family,$9.6 B,70,United States,Warehouse automation,
194,195,Jin Baofang,$9.6 B,70,China,Solar panels,
195,195,Luo Liguo & family,$9.6 B,67,China,Chemicals,
196,195,Marijke Mars,$9.6 B,58,United States,"Candy, pet food",
197,195,Pamela Mars,$9.6 B,62,United States,"Candy, pet food",
198,195,Valerie Mars,$9.6 B,64,United States,"Candy, pet food",
199,202,Vincent Bolloré & family,$9.5 B,71,France,Investments,
200,202,Jim Pattison,$9.5 B,94,Canada,Diversified,
201,204,Ernesto Bertarelli,$9.4 B,57,Switzerland,"Biotech, investments",
202,204,Wang Xing,$9.4 B,44,China,E-commerce,
203,206,Brian Chesky,$9.3 B,41,United States,Airbnb,
204,206,James Dyson,$9.3 B,75,United Kingdom,Vacuums,
205,208,Roman Abramovich & family,$9.2 B,56,Russia,"Steel, investments",
206,208,Antonia Ax:son Johnson & family,$9.2 B,79,Sweden,Diversified,
207,208,Daniel Kretinsky,$9.2 B,47,Czech Republic,"Energy, investments",
208,208,John Malone,$9.2 B,82,United States,Cable television,
209,208,Azim Premji,$9.2 B,77,India,Software services,
210,208,Charles Schwab,$9.2 B,85,United States,Discount brokerage,
211,208,Eric Smidt,$9.2 B,63,United States,Hardware stores,
212,215,David Cheriton,$9 B,72,Canada,Google,
213,215,Ivan Glasenberg,$9 B,66,Switzerland,Mining,
214,215,Alexander Otto,$9 B,55,Germany,Real estate,
215,215,Anthony von Mandl,$9 B,73,Canada,Alcoholic beverages,
216,215,Wang Liping & family,$9 B,57,China,Hydraulic machinery,
217,220,Finn Rausing,$8.9 B,68,Sweden,Packaging,
218,220,Jorn Rausing,$8.9 B,63,Sweden,Packaging,
219,220,Kirsten Rausing,$8.9 B,70,Sweden,Packaging,
220,223,Tatyana Bakalchuk,$8.8 B,47,Russia,Ecommerce,
221,223,John Doerr,$8.8 B,71,United States,Venture capital,
222,223,Richard Liu,$8.8 B,49,China,E-commerce,
223,223,Dustin Moskovitz,$8.8 B,38,United States,Facebook,
224,223,Pierre Omidyar,$8.8 B,55,United States,"EBay, PayPal",
225,223,Pei Zhenhua,$8.8 B,64,China,Batteries,
226,223,Carrie Perrodo & family,$8.8 B,72,France,Oil,
227,230,Chen Jianhua,$8.7 B,52,China,Chemicals,
228,230,Michael Otto,$8.7 B,79,Germany,"Retail, real estate",
229,232,Leon Black,$8.6 B,71,United States,Private equity,
230,232,Graeme Hart,$8.6 B,67,New Zealand,Investments,
231,232,Ravi Jaipuria,$8.6 B,68,India,"Soft drinks, fast food",
232,232,Hasso Plattner & family,$8.6 B,79,Germany,Software,
233,232,Carlos Alberto Sicupira & family,$8.6 B,75,Brazil,Beer,
234,232,Manuel Villar,$8.6 B,73,Philippines,Real estate,
235,232,Andreas von Bechtolsheim & family,$8.6 B,67,Germany,Google,
236,239,"Chase Coleman, III.",$8.5 B,47,United States,Investments,
237,239,Ann Walton Kroenke,$8.5 B,74,United States,Walmart,
238,239,Li Zhenguo & family,$8.5 B,55,China,Solar wafers and modules,
239,242,Jim Kennedy,$8.4 B,75,United States,"Media, automotive",
240,242,Nicky Oppenheimer & family,$8.4 B,77,South Africa,Diamonds,
241,242,Blair Parry-Okeden,$8.4 B,72,United States,"Media, automotive",
242,242,Zheng Shuliang & family,$8.4 B,77,China,Aluminum products,
243,246,John Morris,$8.3 B,75,United States,Sporting goods retail,
244,246,Stefano Pessina,$8.3 B,81,Monaco,Drugstores,
245,246,Francine von Finck & family,$8.3 B,N/A,Germany,Investments,
246,249,Francis Choi,$8.2 B,75,Hong Kong,Real estate,
247,249,German Khan,$8.2 B,61,Russia,"Oil, banking, telecom",
248,249,Abdulsamad Rabiu,$8.2 B,62,Nigeria,"Cement, sugar",
249,249,George Roberts,$8.2 B,79,United States,Private equity,
250,249,Kushal Pal Singh,$8.2 B,91,India,Real estate,
251,249,Wang Jianlin,$8.2 B,68,China,Real estate,
252,249,Yang Huiyan & family,$8.2 B,41,China,Real estate,
253,256,Laurent Dassault,$8.1 B,69,France,Diversified,
254,256,Thierry Dassault,$8.1 B,66,France,Diversified,
255,256,Tilman Fertitta,$8.1 B,65,United States,"Houston Rockets, entertainment",
256,256,Marie-Hélène Habert-Dassault,$8.1 B,58,France,Diversified,
257,256,Karel Komarek,$8.1 B,54,Czech Republic,"Oil and gas, IT, lotteries",
258,261,Nathan Blecharczyk,$8 B,39,United States,Airbnb,
259,261,Leonid Fedun,$8 B,66,Russia,Oil,
260,261,Bernard Marcus,$8 B,93,United States,Home Depot,
261,261,Patrick Ryan,$8 B,85,United States,Insurance,
262,261,Robert F. Smith,$8 B,60,United States,Private equity,
263,261,Pavel Tykac,$8 B,58,Czech Republic,Coal mines,
264,261,Eric Wittouck,$8 B,76,Belgium,Investments,
265,268,Orlando Bravo,$7.9 B,52,United States,Private equity,
266,268,Ding Shizhong & family,$7.9 B,52,China,Sports apparel,
267,268,Nancy Walton Laurie,$7.9 B,71,United States,Walmart,
268,268,Jay Y. Lee,$7.9 B,54,South Korea,Samsung,
269,268,Ramzi Musallam,$7.9 B,54,United States,Private equity,
270,268,David Shaw,$7.9 B,72,United States,Hedge funds,
271,268,Andrei Skoch & family,$7.9 B,57,Russia,Metals and mining,
272,268,Georg Stumpf,$7.9 B,50,Austria,"Real estate, construction",
273,276,Rocco Commisso,$7.8 B,73,United States,Telecom,
274,276,Li Shuirong,$7.8 B,66,China,Petrochemicals,
275,276,Lin Shu-hong,$7.8 B,94,Taiwan,Petrochemicals,
276,276,Qi Shi & family,$7.8 B,53,China,Financial information,
277,276,Yao Liangsong,$7.8 B,58,China,Furniture,
278,276,Zhang Congyuan,$7.8 B,75,Taiwan,Shoes,
279,282,Jean-Michel Besnier,$7.7 B,55,France,Cheese,
280,282,Marie Besnier Beauvalot,$7.7 B,42,France,Cheese,
281,282,David Geffen,$7.7 B,80,United States,"Movies, record labels",
282,282,Robin Li,$7.7 B,54,China,Internet search,
283,282,Liu Yonghao & family,$7.7 B,71,China,Agribusiness,
284,282,Henry Samueli,$7.7 B,68,United States,Semiconductors,
285,282,Reinhold Schmieding,$7.7 B,68,United States,Medical devices,
286,282,Ivar Tollefsen,$7.7 B,61,Norway,Real estate,
287,290,Cao Renxian,$7.6 B,54,China,Photovoltaic equipment,
288,290,Hasmukh Chudgar & family,$7.6 B,89,India,Pharmaceuticals,
289,290,Andrew Currie,$7.6 B,67,United Kingdom,Chemicals,
290,290,Joe Gebbia,$7.6 B,41,United States,Airbnb,
291,290,Philip Ng,$7.6 B,64,Singapore,Real Estate,
292,290,John Reece,$7.6 B,66,United Kingdom,Chemicals,
293,290,Leonard Stern,$7.6 B,85,United States,Real estate,
294,290,Joseph Tsai,$7.6 B,59,Canada,E-commerce,
295,290,Zhong Huijuan,$7.6 B,62,China,Pharmaceuticals,
296,299,Arthur Blank,$7.5 B,80,United States,Home Depot,
297,299,Charles Butt,$7.5 B,85,United States,Supermarkets,
298,299,Ding Shijia,$7.5 B,59,China,Sports apparel,
299,299,"Paul Tudor Jones, II.",$7.5 B,68,United States,Hedge funds,
300,299,Henry Kravis,$7.5 B,79,United States,Private equity,
301,299,Zhang Yong,$7.5 B,52,Singapore,Restaurants,
302,305,James Goodnight,$7.4 B,80,United States,Software,
303,305,Sri Prakash Lohia,$7.4 B,70,Indonesia,Petrochemicals,
304,305,Ma Jianrong & family,$7.4 B,59,China,"Textiles, apparel",
305,305,Robert Ng,$7.4 B,71,Singapore,Real estate,
306,305,Steven Rales,$7.4 B,72,United States,"Manufacturing, investments",
307,305,Nassef Sawiris,$7.4 B,62,Egypt,"Construction, investments",
308,305,Harry Stine,$7.4 B,81,United States,Agriculture,
309,312,Benu Gopal Bangur,$7.3 B,91,India,Cement,
310,312,Iskander Makhmudov,$7.3 B,59,Russia,"Mining, metals, machinery",
311,312,Anders Holch Povlsen,$7.3 B,50,Denmark,Fashion retail,
312,312,Enrique Razon Jr.,$7.3 B,63,Philippines,Ports,
313,312,Wang Laichun,$7.3 B,55,China,Electronics components,
314,317,Arthur Dantchik,$7.2 B,65,United States,"Trading, investments",
315,317,Terry Gou,$7.2 B,72,Taiwan,Electronics,
316,317,Jeff Greene,$7.2 B,68,United States,"Real estate, investments",
317,317,Don Hankey,$7.2 B,79,United States,Auto loans,
318,317,Richard Kinder,$7.2 B,78,United States,Pipelines,
319,317,Guillaume Pousaz,$7.2 B,41,Switzerland,Fintech,
320,317,Takahisa Takahara,$7.2 B,61,Japan,Personal care goods,
321,317,Zong Qinghou,$7.2 B,77,China,Beverages,
322,325,Judy Faulkner,$7.1 B,79,United States,Healthcare software,
323,325,Johann Graf,$7.1 B,76,Austria,Gambling,
324,325,Tamara Gustavson,$7.1 B,61,United States,Self storage,
325,325,Liang Wengen,$7.1 B,66,China,Construction equipment,
326,325,Frederik Paulsen,$7.1 B,72,Sweden,Health care,
327,325,Wee Cho Yaw,$7.1 B,94,Singapore,Banking,
328,325,Zhang Hejun,$7.1 B,71,China,Electronics,
329,332,Marc Benioff,$7 B,58,United States,Business software,
330,332,Dmitri Bukhman,$7 B,37,Israel,Online games,
331,332,Igor Bukhman,$7 B,41,Israel,Online games,
332,332,Jack Dangermond,$7 B,77,United States,Mapping software,
333,332,Ashwin Dani & family,$7 B,80,India,Paints,
334,332,Ralph Lauren,$7 B,83,United States,Apparel,
335,332,Law Kar Po,$7 B,74,Hong Kong,Real estate,
336,332,Rohiqa Cyrus Mistry,$7 B,55,India,Diversified,
337,332,Shapoor Mistry,$7 B,58,Ireland,Diversified,
338,332,J. Christopher Reyes,$7 B,69,United States,Food distribution,
339,332,Jude Reyes,$7 B,67,United States,Food distribution,
340,332,Don Vultaggio & family,$7 B,71,United States,Beverages,
341,344,Alejandro Bailleres Gual & family,$6.9 B,62,Mexico,Diversified,
342,344,Edythe Broad & family,$6.9 B,87,United States,"Homebuilding, insurance",
343,344,Pauline MacMillan Keinath,$6.9 B,89,United States,Cargill,
344,344,Philippe Laffont,$6.9 B,55,United States,Hedge fund,
345,344,Liu Jincheng & family,$6.9 B,58,China,Lithium batteries,
346,344,Igor Olenicoff,$6.9 B,80,United States,Real estate,
347,344,Sandra Ortega Mera,$6.9 B,54,Spain,Zara,
348,344,Ronda Stryker,$6.9 B,68,United States,Medical equipment,
349,352,Dannine Avara,$6.8 B,59,United States,Pipelines,
350,352,Silvio Berlusconi & family,$6.8 B,86,Italy,Media,
351,352,Denise Coates,$6.8 B,55,United Kingdom,Online gambling,
352,352,Scott Duncan,$6.8 B,40,United States,Pipelines,
353,352,Milane Frantz,$6.8 B,53,United States,Pipelines,
354,352,"Edward Johnson, IV.",$6.8 B,58,United States,Fidelity,
355,352,Yuri Milner,$6.8 B,61,Israel,Tech investments,
356,352,Gordon Moore,$6.8 B,94,United States,Intel,
357,352,John Overdeck,$6.8 B,53,United States,Hedge funds,
358,352,David Siegel,$6.8 B,61,United States,Hedge funds,
359,352,Viktor Vekselberg,$6.8 B,65,Russia,"Metals, investments",
360,352,Wang Laisheng,$6.8 B,58,China,Electronics components,
361,352,Randa Duncan Williams,$6.8 B,61,United States,Pipelines,
362,365,Ken Fisher,$6.7 B,72,United States,Money management,
363,365,Christopher Hohn,$6.7 B,56,United Kingdom,Hedge funds,
364,365,Kjeld Kirk Kristiansen,$6.7 B,75,Denmark,Lego,
365,365,Sofie Kirk Kristiansen,$6.7 B,47,Denmark,Lego,
366,365,Thomas Kirk Kristiansen,$6.7 B,44,Denmark,Lego,
367,365,Massimiliana Landini Aleotti & family,$6.7 B,80,Italy,Pharmaceuticals,
368,365,Li Ping,$6.7 B,55,Hong Kong,Batteries,
369,365,Lin Jianhua,$6.7 B,60,China,Solar panel components,
370,365,Magdalena Martullo-Blocher,$6.7 B,54,Switzerland,Chemicals,
371,365,Xavier Niel,$6.7 B,55,France,"Internet, telecom",
372,365,Terrence Pegula,$6.7 B,72,United States,Natural gas,
373,365,"Edward Roski, Jr.",$6.7 B,84,United States,Real estate,
374,365,John A. Sobrato & family,$6.7 B,83,United States,Real estate,
375,365,George Soros,$6.7 B,92,United States,Hedge funds,
376,365,David Sun,$6.7 B,71,United States,Computer hardware,
377,365,Agnete Kirk Thinggaard,$6.7 B,39,Denmark,Lego,
378,365,John Tu,$6.7 B,81,United States,Computer hardware,
379,365,Xu Shihui,$6.7 B,65,China,"Snacks, beverages",
380,383,Rahel Blocher,$6.6 B,47,Switzerland,Chemicals,
381,383,Bubba Cathy,$6.6 B,68,United States,Chick-fil-A,
382,383,Dan Cathy,$6.6 B,70,United States,Chick-fil-A,
383,383,Trudy Cathy White,$6.6 B,67,United States,Chick-fil-A,
384,383,Bruce Kovner,$6.6 B,78,United States,Hedge funds,
385,383,"Henry Nicholas, III.",$6.6 B,63,United States,Semiconductors,
386,383,Nadia Thiele,$6.6 B,47,Germany,Investments,
387,390,David Bonderman,$6.5 B,80,United States,Private equity,
388,390,Melinda French Gates,$6.5 B,58,United States,Microsoft,
389,390,Nathan Kirsh,$6.5 B,91,Eswatini (Swaziland),"Retail, real estate",
390,390,Annette Lerner & family,$6.5 B,93,United States,Real estate,
391,390,David Reuben,$6.5 B,84,United Kingdom,"Investments, real estate",
392,390,Simon Reuben,$6.5 B,81,United Kingdom,"Real estate, investments",
393,390,Radovan Vitek,$6.5 B,51,Czech Republic,Real estate,
394,397,Carl Bennet,$6.4 B,71,Sweden,Investments,
395,397,Stephen Bisciotti,$6.4 B,62,United States,"Staffing, Baltimore Ravens",
396,397,Stanley Druckenmiller,$6.4 B,69,United States,Hedge funds,
397,397,Jian Jun,$6.4 B,59,China,Biomedical products,
398,397,Dmitry Rybolovlev & family,$6.4 B,56,Russia,Fertilizer,
399,397,Luis Carlos Sarmiento,$6.4 B,90,Colombia,Banking,
400,397,Dennis Washington,$6.4 B,88,United States,"Construction, mining",
401,405,Anthony Bamford & family,$6.3 B,77,United Kingdom,Construction equipment,
402,405,Gao Jifan & family,$6.3 B,58,China,Solar equipment,
403,405,John Grayken,$6.3 B,66,Ireland,Private equity,
404,405,Alain Merieux & family,$6.3 B,85,France,Pharmaceuticals,
405,405,Wang Yusuo & family,$6.3 B,59,China,Natural gas distribution,
406,405,Stef Wertheimer & family,$6.3 B,96,Israel,Metalworking tools,
407,411,Maria Asuncion Aramburuzabala & family,$6.2 B,59,Mexico,"Beer, investments",
408,411,Gustaf Douglas,$6.2 B,85,Sweden,Investments,
409,411,Frits Goldschmeding,$6.2 B,89,Netherlands,Temp agency,
410,411,Lin Muqin & family,$6.2 B,59,China,Beverages,
411,411,Ruan Liping,$6.2 B,59,Hong Kong,Power strips,
412,411,Ruan Xueping,$6.2 B,51,Hong Kong,Power strip,
413,411,Michal Solowow,$6.2 B,60,Poland,Investments,
414,418,Mike Adenuga,$6.1 B,69,Nigeria,"Telecom, oil",
